"";"Jahr";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"92";2025;"Urne";"Summe";"Summe";"31430857";"218085";"6753331";"4936354";"2930850";"3210734";"1263958";"1350738";"7903397";"2863410";"0";"360893";"0";"1633395"
"93";2025;"Urne";"Summe";"2001-2007";"2234402";"10053";"207763";"239986";"646939";"204089";"40773";"121807";"495880";"267112";"0";"20546";"0";"139049"
"94";2025;"Urne";"Summe";"1991-2000";"3712086";"13495";"429183";"395687";"680946";"478663";"88680";"185660";"946527";"493246";"0";"54077";"0";"235414"
"95";2025;"Urne";"Summe";"1981-1990";"4924740";"22142";"825507";"533712";"440044";"616295";"162706";"198295";"1574237";"551803";"0";"69426";"0";"289784"
"96";2025;"Urne";"Summe";"1966-1980";"7998285";"40226";"1732536";"1066404";"512379";"900556";"324771";"324612";"2383941";"712859";"0";"101219";"0";"407674"
"97";2025;"Urne";"Summe";"1956-1965";"6177681";"43410";"1472327";"1155889";"337582";"600517";"284316";"230477";"1579659";"473505";"0";"67917";"0";"306353"
"98";2025;"Urne";"Summe";"<=1955";"6383662";"88759";"2086015";"1544678";"312958";"410614";"362712";"289887";"923153";"364886";"0";"47708";"0";"255121"
"99";2025;"Brief";"Summe";"Summe";"18497796";"61056";"4443043";"3212770";"1425682";"2551646";"1700070";"798019";"2425383";"1880127";"0";"408386";"0";"839552"
"100";2025;"Brief";"Summe";"2001-2007";"1129284";"2890";"126359";"137431";"270057";"187377";"60460";"66001";"141675";"137035";"0";"23230";"0";"50139"
"101";2025;"Brief";"Summe";"1991-2000";"2480776";"4690";"325437";"289089";"400846";"507863";"154194";"134114";"330618";"333926";"0";"61414";"0";"114045"
"102";2025;"Brief";"Summe";"1981-1990";"2568580";"6608";"490202";"302008";"213459";"470686";"215510";"106309";"438042";"325755";"0";"65301";"0";"125863"
"103";2025;"Brief";"Summe";"1966-1980";"4049176";"11398";"994338";"578757";"198795";"569126";"399274";"159063";"697386";"441039";"0";"105940";"0";"195365"
"104";2025;"Brief";"Summe";"1956-1965";"3601078";"12735";"946190";"724856";"157351";"463650";"364671";"131341";"466671";"333612";"0";"79693";"0";"174313"
"105";2025;"Brief";"Summe";"<=1955";"4668903";"22735";"1560517";"1180629";"185173";"352944";"505960";"201192";"350992";"308760";"0";"72808";"0";"179827"
"106";2017;"Urne";"m";"Summe";"16655043";"168310";"3793222";"3453674";"1666273";"1208595";"801308";"1837915";"2913032";"812716";"91543";"139166";"0";"0"
"107";2017;"Urne";"w";"Summe";"16890830";"219256";"4922458";"3493804";"1556318";"1680284";"938989";"1563583";"1684467";"831669";"50270";"161468";"0";"0"
"108";2017;"Brief";"m";"Summe";"6095735";"31586";"1508151";"1178211";"518560";"497481";"477578";"830239";"762287";"291642";"20100";"69372";"0";"0"
"109";2017;"Brief";"w";"Summe";"7334733";"41697";"2223825";"1413692";"556119";"772040";"651813";"767712";"518329";"389506";"14152";"94233";"0";"0"
"110";2021;"Urne";"m";"Summe";"12589715";"122722";"2274633";"3016488";"672823";"1481607";"447998";"1556086";"2058074";"959283";"0";"217605";"152896";"0"
"111";2021;"Urne";"w";"Summe";"12118457";"169627";"2363188";"3240211";"610183";"1694572";"415044";"1229268";"1262884";"1133481";"0";"231728";"222429";"0"
"112";2021;"Brief";"m";"Summe";"10154412";"50880";"1845028";"2507698";"465252";"1561451";"695923";"1335398";"876237";"816546";"0";"297550";"93420";"0"
"113";2021;"Brief";"w";"Summe";"11991924";"69256";"2292622";"3191037";"522648";"2114576";"843862";"1199200";"606707";"1152015";"0";"380901";"161408";"0"
"114";2025;"Urne";"m";"Summe";"15913476";"93958";"3447047";"2276118";"1235312";"1488421";"656937";"751083";"4700840";"1263759";"0";"166308";"0";"715584"
"115";2025;"Urne";"w";"Summe";"15517381";"124127";"3306284";"2660236";"1695538";"1722313";"607021";"599655";"3202557";"1599651";"0";"194585";"0";"917811"
"116";2025;"Brief";"m";"Summe";"8425277";"26128";"2076620";"1330879";"530781";"1097103";"802583";"418483";"1390961";"751739";"0";"173219";"0";"327238"
"117";2025;"Brief";"w";"Summe";"10072519";"34928";"2366423";"1881891";"894901";"1454543";"897487";"379536";"1034422";"1128388";"0";"235167";"0";"512314"
