"";"Jahr";"WKR_NR";"WKR_NAME";"LAND_NR";"LAND_NAME";"Wahlbezirksart";"Wahlkreisname";"Wähler";"Ungültige";"CDU";"CSU";"SPD";"LINKE";"GRÜNE";"FDP";"AFD";"meistgewählt";"pct";"geometry";"ref_value";"winner_abzz";"Land";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"AfD";"DIE LINKE";"Sonstige";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"103";2017;"0";"0";"0";0;0;0;0;0;69097;0;37595;0;48315;25165;0;0;0;0;0;0;0;0;0;235696;979;13068;20036;21442;1398;0;0
"104";2017;"0";"0";"0";0;0;0;0;0;139811;0;60676;0;65764;44509;0;0;0;0;0;0;0;0;0;417326;2125;35754;31621;37066;5382;0;0
"105";2017;"0";"0";"0";0;0;0;0;0;138518;0;53357;0;70878;45191;0;0;0;0;0;0;0;0;0;402180;2629;40594;25475;25536;4586;0;0
"106";2017;"0";"0";"0";0;0;0;0;0;309853;0;139769;0;161864;93714;0;0;0;0;0;0;0;0;0;900477;7350;91926;56028;39973;6920;0;0
"107";2017;"0";"0";"0";0;0;0;0;0;179203;0;84449;0;64835;56040;0;0;0;0;0;0;0;0;0;475163;5611;46461;27576;10988;2038;0;0
"108";2017;"0";"0";"0";0;0;0;0;0;331198;0;117133;0;55767;75708;0;0;0;0;0;0;0;0;0;656831;15079;38052;15993;7900;2037;0;0
"109";2017;"0";"0";"0";0;0;0;0;0;0;79830;37285;0;36210;43060;0;0;0;0;0;0;0;0;0;293330;1498;32066;24929;38452;7315;0;0
"110";2017;"0";"0";"0";0;0;0;0;0;0;146760;56861;0;46234;65400;0;0;0;0;0;0;0;0;0;498716;1467;80098;42455;59440;14317;0;0
"111";2017;"0";"0";"0";0;0;0;0;0;0;166043;52887;0;51925;63608;0;0;0;0;0;0;0;0;0;511247;2243;95693;33558;45291;15421;0;0
"112";2017;"0";"0";"0";0;0;0;0;0;0;365034;164997;0;104603;110185;0;0;0;0;0;0;0;0;0;1096921;5076;207657;70501;68868;29253;0;0
"113";2017;"0";"0";"0";0;0;0;0;0;0;207183;110056;0;36076;58308;0;0;0;0;0;0;0;0;0;573716;3621;93789;40446;24237;12413;0;0
"114";2017;"0";"0";"0";0;0;0;0;0;0;316319;133026;0;21792;65658;0;0;0;0;0;0;0;0;0;657438;8320;70066;24540;17715;10425;0;0
"115";2017;"0";"0";"0";0;0;0;0;0;0;92406;38381;0;53534;27392;0;0;0;0;0;0;0;0;0;292805;804;18842;23486;37958;8352;0;0
"116";2017;"0";"0";"0";0;0;0;0;0;0;175220;62175;0;72941;42311;0;0;0;0;0;0;0;0;0;491978;1156;43282;36049;58843;18628;0;0
"117";2017;"0";"0";"0";0;0;0;0;0;0;197655;58886;0;71409;47515;0;0;0;0;0;0;0;0;0;508391;1620;51610;30922;48775;17190;0;0
"118";2017;"0";"0";"0";0;0;0;0;0;0;410796;161709;0;146447;98679;0;0;0;0;0;0;0;0;0;1108157;5428;120070;69170;95858;38233;0;0
"119";2017;"0";"0";"0";0;0;0;0;0;0;256682;104549;0;47052;58133;0;0;0;0;0;0;0;0;0;594282;4471;56370;35434;31590;15262;0;0
"120";2017;"0";"0";"0";0;0;0;0;0;0;455760;150118;0;33891;70999;0;0;0;0;0;0;0;0;0;814025;12092;46757;19312;25097;12387;0;0
