"";"Jahr";"Land";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"100";2021;"Bund";"Urne";"w";"1997 - 2003";"931405";"7168";"76501";"160450";"92751";"225160";"12668";"146308";"60814";"149584";NA;"15980";"12097";NA
"101";2021;"Bund";"Urne";"w";"1987 - 1996";"1458879";"12036";"163528";"282707";"93699";"300214";"29666";"179524";"167039";"230465";NA;"35880";"32235";NA
"102";2021;"Bund";"Urne";"w";"1977 - 1986";"1826126";"16114";"283608";"383810";"85274";"316985";"52755";"202770";"254814";"229995";NA;"48551";"50809";NA
"103";2021;"Bund";"Urne";"w";"1962 - 1976";"3357848";"33597";"601011";"895803";"147110";"497578";"109466";"351572";"406119";"315592";NA;"72385";"78422";NA
"104";2021;"Bund";"Urne";"w";"1952 - 1961";"2081177";"32140";"455409";"662675";"100677";"211098";"82120";"173875";"235619";"127564";NA;"34765";"32672";NA
"105";2021;"Bund";"Urne";"w";"1951 und früher";"2463021";"68571";"783130";"854766";"90671";"143537";"128368";"175219";"138479";"80280";NA;"24167";"16194";NA
"106";2021;"Bund";"Brief";"Summe";"Summe";"22146336";"120136";"4137650";"5698735";"987900";"3676027";"1539785";"2534598";"1482944";"1968561";NA;"678451";"254828";NA
"107";2021;"Bund";"Brief";"Summe";"1997 - 2003";"1514600";"6020";"127482";"228604";"101803";"422184";"57645";"287291";"62163";"221408";NA;"48924";"15684";NA
"108";2021;"Bund";"Brief";"Summe";"1987 - 1996";"2945447";"11877";"281955";"495499";"190867";"810654";"132518";"434272";"172602";"415203";NA;"113270";"36040";NA
"109";2021;"Bund";"Brief";"Summe";"1977 - 1986";"2735071";"12058";"372812";"520682";"124368";"610347";"161234";"351003";"236460";"346107";NA;"114948";"46746";NA
"110";2021;"Bund";"Brief";"Summe";"1962 - 1976";"5581622";"26760";"988397";"1419502";"205622";"893597";"370673";"655302";"487616";"534153";NA;"204809";"89188";NA
"111";2021;"Bund";"Brief";"Summe";"1952 - 1961";"4211264";"22467";"820135";"1331002";"187518";"569373";"327000";"395393";"293983";"264392";NA;"113494";"43506";NA
"112";2021;"Bund";"Brief";"Summe";"1951 und früher";"5158333";"40954";"1546870";"1703445";"177722";"369872";"490714";"411337";"230120";"187299";NA;"83005";"23665";NA
"113";2021;"Bund";"Brief";"m";"Summe";"10154412";"50880";"1845028";"2507698";"465252";"1561451";"695923";"1335398";"876237";"816546";NA;"297550";"93420";NA
"114";2021;"Bund";"Brief";"m";"1997 - 2003";"685851";"2528";"60243";"98306";"39113";"153377";"27098";"173933";"35992";"95261";NA;"21835";"6373";NA
"115";2021;"Bund";"Brief";"m";"1987 - 1996";"1385113";"5494";"131417";"223304";"91198";"331317";"62137";"253485";"98945";"187815";NA;"51877";"13981";NA
"116";2021;"Bund";"Brief";"m";"1977 - 1986";"1310889";"4612";"173351";"231614";"61750";"276765";"76558";"191740";"142316";"152183";NA;"52247";"17283";NA
"117";2021;"Bund";"Brief";"m";"1962 - 1976";"2593000";"11737";"469054";"623773";"94973";"385966";"172265";"332137";"292956";"210140";NA;"88443";"32685";NA
"118";2021;"Bund";"Brief";"m";"1952 - 1961";"1993157";"10111";"376883";"611672";"93100";"257081";"161657";"197446";"177764";"107443";NA;"52476";"15922";NA
"119";2021;"Bund";"Brief";"m";"1951 und früher";"2186404";"16399";"634080";"719029";"85117";"156944";"196207";"186658";"128265";"63705";NA;"30672";"7175";NA
"120";2021;"Bund";"Brief";"w";"Summe";"11991924";"69256";"2292622";"3191037";"522648";"2114576";"843862";"1199200";"606707";"1152015";NA;"380901";"161408";NA
"121";2021;"Bund";"Brief";"w";"1997 - 2003";"828749";"3492";"67239";"130298";"62690";"268807";"30547";"113358";"26171";"126147";NA;"27089";"9311";NA
"122";2021;"Bund";"Brief";"w";"1987 - 1996";"1560334";"6383";"150538";"272196";"99669";"479337";"70381";"180787";"73657";"227387";NA;"61393";"22058";NA
"123";2021;"Bund";"Brief";"w";"1977 - 1986";"1424182";"7445";"199461";"289068";"62618";"333582";"84676";"159263";"94144";"193924";NA;"62702";"29463";NA
"124";2021;"Bund";"Brief";"w";"1962 - 1976";"2988622";"15023";"519343";"795729";"110650";"507630";"198408";"323165";"194661";"324013";NA;"116366";"56503";NA
"125";2021;"Bund";"Brief";"w";"1952 - 1961";"2218107";"12357";"443251";"719330";"94417";"312292";"165344";"197948";"116219";"156950";NA;"61018";"27584";NA
"126";2021;"Bund";"Brief";"w";"1951 und früher";"2971929";"24556";"912790";"984416";"92605";"212927";"294507";"224679";"101855";"123594";NA;"52333";"16490";NA
"127";2025;"Bund";"Summe";"Summe";"Summe";"49928653";"279141";"11196374";"8149124";"4356532";"5762380";"2964028";"2148757";"10328780";"4743537";NA;"769279";NA;"2472947"
"128";2025;"Bund";"Summe";"Summe";"2001-2007";"3363686";"12943";"334122";"377416";"916997";"391466";"101233";"187808";"637555";"404147";NA;"43776";NA;"189188"
